--- 视频批量流复制转换日志 ---
[2025-10-03T18:43:20.988Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202509292056_53cQ07xczAs_ShowAvcHdL0.mp4
[2025-10-03T18:43:20.991Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202509301812_bdelYuTFO2Y_ShowAvcHdL0.mp4
[2025-10-03T18:43:20.992Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510011702_yMaCnFepBMU_ShowAvcHdL0.mp4
[2025-10-03T18:43:20.994Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510011748_frdEWjVXFA4_ShowAvcHdL0.mp4
[2025-10-03T18:43:20.999Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510011825_4K4-6A3Mot4_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.001Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510011825_PVhI_UTS0SI_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.002Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510012038_gI7ULALdPNQ_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.004Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510012257_dHh2n0K1jMU_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.006Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510020006_P-7EJyyKNt0_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.008Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510021647_LmsBuq_Sq3A_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.009Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510021647_nZx_jn5JPk8_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.010Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510022351_RtsZD8-t9Ao_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.011Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510031800_A9YSblbBWts_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.014Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510031800_ZOSFQEpmBaM_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.015Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510032015_jD5ih4z41sQ_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.017Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510032045_uu0uPalrydY_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.018Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\202510032152_cDkm6JR5snA_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.020Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\evrGHqjIhnQ_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.021Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\Jw5dFwjzKF8_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.022Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\NCgAKEyFI6w_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.023Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\刘.屾-快手直播\v2fwf1kwYTI_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.023Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\刘_屾\刘_屾_2025-09-26_21-43-15_000.mp4
[2025-10-03T18:43:21.024Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\叮叮--快手直播\-nN22oz89TY_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.025Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\叮叮--快手直播\II12Gaxe-Wg_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.026Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小困包露-快手直播\30nGA3UP88I_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.027Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小困包露-快手直播\9QOVTyW92F4_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.028Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小困包露-快手直播\a7mFOe_1J2w_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.029Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小困包露-快手直播\j6PAJYLpXpo_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.031Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小困包露-快手直播\uryowHHTBGA_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.033Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4.0-快手直播\CSDTeL5YsdA_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.034Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4.0-快手直播\Iw7Ugfq9Pts_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.035Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4.0-快手直播\P07YGJBx51Q_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.036Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\qdvY9JFEZnM_ShowAvcHdL0Abvsfbase.mp4
[2025-10-03T18:43:21.037Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-23_20-50-43_000.mp4
[2025-10-03T18:43:21.039Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-23_20-50-43_001.mp4
[2025-10-03T18:43:21.040Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-23_23-45-27_000.mp4
[2025-10-03T18:43:21.041Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-23_23-45-27_001.mp4
[2025-10-03T18:43:21.042Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-24_01-37-01_000.mp4
[2025-10-03T18:43:21.046Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-26_23-30-43_000.mp4
[2025-10-03T18:43:21.049Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-26_23-30-43_001.mp4
[2025-10-03T18:43:21.050Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-27_01-27-40_000.mp4
[2025-10-03T18:43:21.051Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-27_02-19-15_000.mp4
[2025-10-03T18:43:21.052Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-27_03-01-39_000.mp4
[2025-10-03T18:43:21.053Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-30_15-11-15_000.mp4
[2025-10-03T18:43:21.054Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-30_16-16-11_000.mp4
[2025-10-03T18:43:21.055Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-30_17-06-58_000.mp4
[2025-10-03T18:43:21.056Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-09-30_17-06-58_001.mp4
[2025-10-03T18:43:21.057Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-10-02_19-06-12_000.mp4
[2025-10-03T18:43:21.058Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小紫4_0\小紫4_0_2025-10-02_20-06-45_000.mp4
[2025-10-03T18:43:21.059Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小🥚-快手直播\-AGpRhEk3UY_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.060Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小🥚-快手直播\202509282055_tcpXt3DerS4_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.061Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\小🥚-快手直播\pNKHyZcoj50_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.062Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\快手_米粒_3xjkcjcvzn7mgya\qwiXAoDnKnM_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.067Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\快手_米粒_3xjkcjcvzn7mgya\快手_米粒_3xjkcjcvzn7mgya.mp4
[2025-10-03T18:43:21.069Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\米粒(10_19号生日版\米粒(10_19号生日版_2025-10-02_19-07-34_000.mp4
[2025-10-03T18:43:21.070Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\胡豆豆.mp4
[2025-10-03T18:43:21.071Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\露露有钱花🦋-快手直播\8COT64_zzfk_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.072Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\露露有钱花🦋-快手直播\97CRd6uWRyA_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.074Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\露露有钱花🦋-快手直播\eWs7jEicgNk_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.075Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\露露有钱花🦋-快手直播\KpQMRzzoORo_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.076Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\露露有钱花🦋-快手直播\tAKlEmL096Y_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.077Z] [WARNING] 跳过: 目标文件已存在。D:\04_Temp\直播\快手直播\露露有钱花🦋-快手直播\ZadzpF7FGDk_ShowAvcHdL0.mp4
[2025-10-03T18:43:21.079Z] [INFO] 转换任务完成。共尝试处理 62 个文件。
